Year;Month;Date;Piege;Commune;Village;Environnement;Eau;Debris;H20;Oeufs;Albo_M;Tot_Albo;Aegypti_M;Tot_aegypti;Tot_Aedes;X;Y
2021;mai;01/09/2021;1;Koungou;Koungou;PU;trouble;élevés;sec;27;0;0;29;29;29;522706,99;8592096,84
2021;Septembre;08/06/2021;1;Koungou;koungou;PU;trouble;élevés;sec;41;38;38;8;8;46;522706,99;8592096,84
2021;Septembre;01/10/2021;2;Koungou;Koungou;PU;trouble;élevés;sec;89;44;44;8;8;52;523367,81;8592152,36
2021;Octobre;02/06/2021;8;Koungou;koungou;PU;trouble;élevés;sec;79;63;63;8;8;71;522936,03;8586932,22
2021;Octobre;16/06/2021;5;Koungou;koungou;PU;trouble;élevés;sec;0;18;137;8;8;145;522709,17;8592231,19
2021;Juin;06/05/2021;2;Koungou;koungou;PU;claire;faibles;sec;59;0;0;0;0;0;523367,81;8592152,36
2021;mai;09/03/2021;8;Koungou;koungou;PU;claire;faibles;sec;15;19;19;8;8;1;522936,03;8586932,22
2021;Juillet ;04/03/2021;5;Koungou;koungou;PU;claire;faibles;sec;31;19;1;8;1;2;522709,17;invalid input
2021;Octobre;09/03/2021;2;Koungou;koungou;PU;claire;faibles;sec;172;19;137;8;8;3;523367,81;8592152,36
2021;Mars ;27/08/2021;5;Koungou;Koungou;PU;claire;faibles;sec;0;0;0;8;8;8;522709,17;8592231,19
2021;Mars ;08/10/2021;4;Koungou;Koungou;PU;claire;faibles;sec;0;0;0;8;8;8;522716,33;8592232,18
2021;Avril;27/08/2021;3;Koungou;Koungou;PU;claire;faibles;sec;1;0;0;8;8;8;522693,5;8592187,42
2021;mai;01/09/2021;3;Koungou;Koungou;PU;claire;faibles;sec;29;0;0;8;8;8;522693,5;8592187,42
2021;Juin;26/05/2021;3;Koungou;koungou;PU;claire;faibles;sec;42;0;0;8;8;8;522693,5;8592187,42
2021;Juin;27/08/2021;6;Koungou;Koungou;PU;claire;faibles;sec;45;0;0;8;8;8;522787,51;8592320,48
2021;Juin;01/09/2021;6;Koungou;Koungou;PU;claire;faibles;sec;57;0;0;8;8;8;522787,51;8592320,59
2021;Juin;01/10/2021;8;Koungou;Koungou;PU;claire;faibles;sec;77;0;0;8;8;8;522936,03;invalid input
2021;Août;09/03/2021;1;Koungou;koungou;PU;claire;faibles;sec;33;19;2;8;8;10;522707,04;8592152,13
2021;Août;06/05/2021;8;Koungou;koungou;PU;claire;faibles;sec;18;5;5;8;8;13;522936,03;8586932,22
2021;Août;08/10/2021;8;Koungou;Koungou;PU;claire;faibles;sec;45;5;5;8;8;13;522936,03;8586932,22
2021;Juillet ;09/03/2021;4;Koungou;koungou;PU;claire;faibles;sec;203;19;19;8;8;14;522716,33;8592232,18
2021;Août;08/10/2021;6;Koungou;Koungou;PU;claire;faibles;sec;84;7;7;8;8;15;522787,51;8592320,59
2021;Août;02/06/2021;6;Koungou;koungou;PU;claire;faibles;sec;97;11;11;8;8;19;522787,51;8592320,48
2021;Février;09/03/2021;6;Koungou;koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522787,43;8592231,13
2021;Mars ;08/10/2021;1;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522706,99;8592096,84
2021;Mars ;14/10/2021;1;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522706,99;8592096,84
2021;Mars ;14/10/2021;2;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;523367,81;8592152,36
2021;Mars ;14/10/2021;5;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522709,17;8592231,19
2021;Mars ;14/10/2021;7;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522822,77;8592305,64
2021;Mars ;14/10/2021;8;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522936,03;8586932,22
2021;Mars ;21/10/2021;3;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522693,5;8592187,42
2021;Mars ;21/10/2021;5;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522709,17;8592231,19
2021;Mars ;21/10/2021;8;Koungou;Koungou;PU;claire;faibles;sec;0;19;19;8;8;19;522936,03;8586932,22
2021;Avril;21/10/2021;2;Koungou;Koungou;PU;claire;faibles;sec;4;19;19;8;8;19;523367,81;8592152,36
2021;Avril;21/10/2021;6;Koungou;Koungou;PU;claire;faibles;sec;7;19;19;8;8;19;522787,51;8592320,59
2021;Avril;04/03/2021;6;Koungou;koungou;PU;claire;faibles;sec;8;19;19;8;8;19;522787,51;8592320,48
2021;Avril;21/10/2021;4;Koungou;Koungou;PU;claire;faibles;sec;8;19;19;8;8;19;522716,33;8592232,18
2021;Avril;14/10/2021;3;Koungou;Koungou;PU;claire;faibles;sec;10;19;19;8;8;19;522693,5;8592187,42
2021;mai;21/10/2021;1;Koungou;Koungou;PU;claire;faibles;sec;20;19;19;8;8;19;522706,99;8592096,84
2021;mai;14/10/2021;6;Koungou;Koungou;PU;claire;faibles;sec;23;19;19;8;8;19;522787,51;8592320,48
2021;Juin;14/10/2021;4;Koungou;Koungou;PU;claire;faibles;sec;45;19;19;8;8;19;522716,33;8592232,18
2021;Juillet ;04/03/2021;1;Koungou;koungou;PU;claire;faibles;sec;111;19;19;8;8;19;522706,99;8592096,84
2021;Août;23/03/2021;6;Koungou;koungou;PU;claire;faibles;sec;79;19;12;8;8;20;522787,51;8592320,48
